ws             	date       	time    	  hr	 rdy	 bsy	  rd	  wr	  ka	 log	 dns	 cls	mwas	mwgt
webhost010 	Nov-03-2017	12:24:50	  12	  55	  20	   1	   0	  18	   0	   0	   1	   0	   0
webhost010 	Nov-03-2017	12:29:50	  12	  59	  16	   5	   0	  11	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	12:34:50	  12	  60	  15	   5	   3	   7	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	12:39:50	  12	  65	  10	   0	   1	   9	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	12:44:50	  12	  64	  11	   6	   0	   5	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	12:49:50	  12	  58	  17	   4	   0	  13	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	12:54:50	  12	  65	  10	   0	   0	  10	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	12:59:50	  12	  59	  16	   5	   3	   8	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	13:04:50	  13	  56	  19	   6	   0	  13	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	13:09:50	  13	  56	  19	  10	   3	   6	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	13:14:50	  13	  55	  20	  11	   0	   9	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	13:19:50	  13	  41	  34	  20	   4	  10	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	13:24:50	  13	  41	  34	  17	   4	  13	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	13:29:50	  13	  38	  37	  21	   4	  12	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	13:34:50	  13	  54	  21	   7	   1	  13	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	13:39:50	  13	  40	  35	  15	   2	  18	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	13:44:50	  13	  64	  36	  15	   1	  20	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	13:49:50	  13	  47	  30	  17	   0	  13	   0	   0	   0	   0	   0
webhost010 	Nov-03-2017	13:54:50	  13	  40	  35	  26	   2	   7	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	13:59:50	  13	  34	  41	  25	   3	  13	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	14:04:50	  14	  64	  36	  12	   4	  20	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	14:09:50	  14	  57	  43	  18	   2	  23	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	14:14:51	  14	  36	  66	  39	   2	  25	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	14:19:51	  14	  44	  56	  32	   2	  22	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	14:24:51	  14	  59	  41	  20	   2	  19	   0	   0	   0	   2	   0
webhost010 	Nov-03-2017	14:29:51	  14	  59	  22	   5	   5	  12	   0	   0	   0	   4	   1
webhost010 	Nov-03-2017	14:34:51	  14	  48	  28	   5	   4	  19	   0	   0	   0	   4	   0
webhost010 	Nov-03-2017	14:39:51	  14	  42	  36	  18	   2	  16	   0	   0	   0	   1	   1
webhost010 	Nov-03-2017	14:44:51	  14	  54	  46	  19	   1	  26	   0	   0	   0	   1	   0
webhost010 	Nov-03-2017	14:49:51	  14	  50	  50	  32	   3	  15	   0	   0	   0	   2	   1
webhost010 	Nov-03-2017	14:54:51	  14	  53	  26	  10	   3	  13	   0	   0	   0	   3	   0
webhost010 	Nov-03-2017	14:59:51	  14	  39	  36	  21	   5	  10	   0	   0	   0	   5	   0
webhost010 	Nov-03-2017	15:04:51	  15	  31	  44	  27	   3	  14	   0	   0	   0	   3	   0
